MOQ | Shares | MOQ LIMITED | Software & Services | AUD | None | None | 2018-12-24 04:05:47.520611 | 2018-12-24 04:05:47.520611
ONT | Shares | 1300 SMILES LIMITED | Health Care Equipment & Services | AUD | None | None | 2018-12-24 04:05:47.520630 | 2018-12-24 04:05:47.520630
14D | Shares | 1414 DEGREES LIMITED | Capital Goods | AUD | None | None | 2018-12-24 04:05:47.520644 | 2018-12-24 04:05:47.520644
1ST | Shares | 1ST GROUP LIMITED | Health Care Equipment & Services | AUD | None | None | 2018-12-24 04:05:47.520657 | 2018-12-24 04:05:47.520657
T3D | Shares | 333D LIMITED | Commercial & Professional Services | AUD | None | None | 2018-12-24 04:05:47.520671 | 2018-12-24 04:05:47.520671
TGP | Shares | 360 CAPITAL GROUP | Real Estate | AUD | None | None | 2018-12-24 04:05:47.520684 | 2018-12-24 04:05:47.520684
TOT | Shares | 360 CAPITAL TOTAL RETURN FUND | Not Applic | AUD | None | None | 2018-12-24 04:05:47.520698 | 2018-12-24 04:05:47.520698
TDO | Shares | 3D OIL LIMITED | Energy | AUD | None | None | 2018-12-24 04:05:47.520710 | 2018-12-24 04:05:47.520710
DDD | Shares | 3D RESOURCES LIMITED | Materials | AUD | None | None | 2018-12-24 04:05:47.520723 | 2018-12-24 04:05:47.520723
3PL | Shares | 3P LEARNING LIMITED.. | Consumer Services | AUD | None | None | 2018-12-24 04:05:47.520737 | 2018-12-24 04:05:47.520737
4DS | Shares | 4DS MEMORY LIMITED | Semiconductors & Semiconductor Equipment | AUD | None | None | 2018-12-24 04:05:47.520750 | 2018-12-24 04:05:47.520750
5GN | Shares | 5G NETWORKS LIMITED | Communication Services | AUD | None | None | 2018-12-24 04:05:47.520763 | 2018-12-24 04:05:47.520763
88E | Shares | 88 ENERGY LIMITED | Energy | AUD | None | None | 2018-12-24 04:05:47.520776 | 2018-12-24 04:05:47.520776
8CO | Shares | 8COMMON LIMITED | Software & Services | AUD | None | None | 2018-12-24 04:05:47.520789 | 2018-12-24 04:05:47.520789
8IH | Shares | 8I HOLDINGS LTD | Diversified Financials | AUD | None | None | 2018-12-24 04:05:47.520802 | 2018-12-24 04:05:47.520802
8EC | Shares | 8IP EMERGING COMPANIES LIMITED | Not Applic | AUD | None | None | 2018-12-24 04:05:47.520815 | 2018-12-24 04:05:47.520815
8VI | Shares | 8VIC HOLDINGS LIMITED | Media & Entertainment | AUD | None | None | 2018-12-24 04:05:47.520828 | 2018-12-24 04:05:47.520828
9SP | Shares | 9 SPOKES INTERNATIONAL LIMITED | Software & Services | AUD | None | None | 2018-12-24 04:05:47.520846 | 2018-12-24 04:05:47.520846
NNW | Shares | 99 WUXIAN LIMITED | Retailing | AUD | None | None | 2018-12-24 04:05:47.520862 | 2018-12-24 04:05:47.520862
ACB | Shares | A-CAP ENERGY LIMITED | Energy | AUD | None | None | 2018-12-24 04:05:47.520877 | 2018-12-24 04:05:47.520877
ARI | Shares | A.C.N. 004 410 833 LIMITED | Materials | AUD | None | None | 2018-12-24 04:05:47.520891 | 2018-12-24 04:05:47.520891
AYI | Shares | A1 INVESTMENTS & RESOURCES LTD | Diversified Financials | AUD | None | None | 2018-12-24 04:05:47.520904 | 2018-12-24 04:05:47.520904
A2B | Shares | A2B AUSTRALIA LIMITED | Commercial & Professional Services | AUD | None | None | 2018-12-24 04:05:47.520918 | 2018-12-24 04:05:47.520918
ABP | Shares | ABACUS PROPERTY GROUP | Real Estate | AUD | None | None | 2018-12-24 04:05:47.520931 | 2018-12-24 04:05:47.520931
ABL | Shares | ABILENE OIL AND GAS LIMITED | Energy | AUD | None | None | 2018-12-24 04:05:47.520944 | 2018-12-24 04:05:47.520944
AEG | Shares | ABSOLUTE EQUITY PERFORMANCE FUND LIMITED | Not Applic | AUD | None | None | 2018-12-24 04:05:47.520957 | 2018-12-24 04:05:47.520957
ABT | Shares | ABUNDANT PRODUCE LIMITED | Food, Beverage & Tobacco | AUD | None | None | 2018-12-24 04:05:47.520971 | 2018-12-24 04:05:47.520971
AJC | Shares | ACACIA COAL LIMITED | Energy | AUD | None | None | 2018-12-24 04:05:47.520984 | 2018-12-24 04:05:47.520984
AKG | Shares | ACADEMIES AUSTRALASIA GROUP LIMITED | Consumer Services | AUD | None | None | 2018-12-24 04:05:47.520998 | 2018-12-24 04:05:47.520998
AX8 | Shares | ACCELERATE RESOURCES LIMITED | Not Applic | AUD | None | None | 2018-12-24 04:05:47.521011 | 2018-12-24 04:05:47.521011
AX1 | Shares | ACCENT GROUP LIMITED | Retailing | AUD | None | None | 2018-12-24 04:05:47.521023 | 2018-12-24 04:05:47.521023
ACS | Shares | ACCENT RESOURCES NL | Materials | AUD | None | None | 2018-12-24 04:05:47.521036 | 2018-12-24 04:05:47.521036
ACQ | Shares | ACORN CAPITAL INVESTMENT FUND LIMITED | Not Applic | AUD | None | None | 2018-12-24 04:05:47.521049 | 2018-12-24 04:05:47.521049
ACF | Shares | ACROW FORMWORK AND CONSTRUCTION SERVICES LIMITED | Capital Goods | AUD | None | None | 2018-12-24 04:05:47.521063 | 2018-12-24 04:05:47.521063
ACR | Shares | ACRUX LIMITED | Pharmaceuticals, Biotechnology & Life Sciences | AUD | None | None | 2018-12-24 04:05:47.521077 | 2018-12-24 04:05:47.521077
ACW | Shares | ACTINOGEN MEDICAL LIMITED | Pharmaceuticals, Biotechnology & Life Sciences | AUD | None | None | 2018-12-24 04:05:47.521091 | 2018-12-24 04:05:47.521091
AIV | Shares | ACTIVEX LIMITED | Materials | AUD | None | None | 2018-12-24 04:05:47.521108 | 2018-12-24 04:05:47.521108
ADA | Shares | ADACEL TECHNOLOGIES LIMITED | Software & Services | AUD | None | None | 2018-12-24 04:05:47.521122 | 2018-12-24 04:05:47.521122
ADH | Shares | ADAIRS LIMITED | Retailing | AUD | None | None | 2018-12-24 04:05:47.521135 | 2018-12-24 04:05:47.521135
1AD | Shares | ADALTA LIMITED | Pharmaceuticals, Biotechnology & Life Sciences | AUD | None | None | 2018-12-24 04:05:47.521148 | 2018-12-24 04:05:47.521148
ADD | Shares | ADAVALE RESOURCES LIMITED | Energy | AUD | None | None | 2018-12-24 04:05:47.521161 | 2018-12-24 04:05:47.521161
